Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
"Zimone, Mystery Unraveler",dsc,Duskmourn: House of Horror Commander,8,normal,mythic,1,,30f23588-5064-48d9-a271-039df757f8d2,0.43,false,false,near_mint,en,USD
"Aesi, Tyrant of Gyre Strait",dsc,Duskmourn: House of Horror Commander,210,normal,mythic,1,,673c21f8-02b6-4ac4-b2fc-df065b4ac662,9.76,false,false,near_mint,en,USD
Aether Gale,dsc,Duskmourn: House of Horror Commander,109,normal,rare,1,,f956bdf3-6b1d-4730-98f6-ba89d3a12b8b,0.31,false,false,near_mint,en,USD
Apothecary Stomper,fdn,Foundations,99,normal,common,1,,680b7b0c-0e1b-46ce-9917-9fc6e05aa148,0.05,false,false,near_mint,en,USD
Arcane Signet,dsc,Duskmourn: House of Horror Commander,92,normal,common,1,,211a1d86-7257-4621-ae05-c2b235c063f0,0.59,false,false,near_mint,en,USD
Ash Barrens,dsc,Duskmourn: House of Horror Commander,260,normal,common,1,,a881be73-7b22-418f-bf20-a07400b3b836,0.31,false,false,near_mint,en,USD
"Ashaya, Soul of the Wild",dsc,Duskmourn: House of Horror Commander,170,normal,mythic,1,,0a74b4e6-f6c9-4fef-a83c-a285a541e720,16.92,false,false,near_mint,en,USD
Augur of Autumn,eoc,Edge of Eternities Commander,92,normal,rare,1,,c09f0e1b-c13b-4e53-ab0e-c8b8a6151d82,0.34,false,false,near_mint,en,USD
Beanstalk Giant // Fertile Footsteps,dsc,Duskmourn: House of Horror Commander,172,normal,uncommon,1,,71096773-69dd-4fb7-a088-e0fe096eaf6b,0.28,false,false,near_mint,en,USD
Beast Within,dsc,Duskmourn: House of Horror Commander,80,normal,uncommon,1,,15d24a9b-05a0-4759-80eb-22743ed5c228,0.63,false,false,near_mint,en,USD
Beast-Kin Ranger,fdn,Foundations,100,normal,common,1,,0102e0be-5783-4825-9489-713b1b1df0b2,0.04,false,false,near_mint,en,USD
Body of Knowledge,dsc,Duskmourn: House of Horror Commander,112,normal,rare,1,,185b2e8f-ab37-42e4-b3a1-f38b19a2e05a,0.30,false,false,near_mint,en,USD
Broken Wings,fdn,Foundations,214,normal,common,1,,61f9cbeb-cc9c-4562-be65-8a77053faefe,0.22,false,false,near_mint,en,USD
Cackling Counterpart,dsc,Duskmourn: House of Horror Commander,72,normal,rare,1,,eb26e2dd-a81b-46a5-9208-c6b3d2548fbb,0.30,false,false,near_mint,en,USD
Castle Vantress,dsc,Duskmourn: House of Horror Commander,267,normal,rare,1,,dead85f7-865c-4f7d-ad6c-014d4e90f8be,0.32,false,false,near_mint,en,USD
Clinquant Skymage,fdn,Foundations,33,normal,uncommon,1,,36012810-0e83-4640-8ba7-7262229f1b84,0.24,false,false,near_mint,en,USD
Command Tower,dsc,Duskmourn: House of Horror Commander,96,normal,common,1,,129d1bbd-83ad-4953-bf6d-b55989b2529c,0.35,false,false,near_mint,en,USD
Counterspell,dsc,Duskmourn: House of Horror Commander,114,normal,uncommon,1,,4f616706-ec97-4923-bb1e-11a69fbaa1f8,3.02,false,false,near_mint,en,USD
Cultivate,dsc,Duskmourn: House of Horror Commander,174,normal,common,1,,684063e2-c9a5-4e7c-b702-94e3e114d063,0.48,false,false,near_mint,en,USD
Curator Beastie,dsc,Duskmourn: House of Horror Commander,30,normal,rare,1,,83eafcd9-0918-43a8-a1be-13deec424235,0.31,false,false,near_mint,en,USD
Deathmist Raptor,dsc,Duskmourn: House of Horror Commander,176,normal,mythic,1,,ed6e6cf5-8fb7-4ba6-943a-e5aa14a3ee92,0.28,false,false,near_mint,en,USD
Dig Through Time,dsc,Duskmourn: House of Horror Commander,115,normal,rare,1,,572b3180-9822-4885-b81c-b1bf8aca5a5e,0.36,false,false,near_mint,en,USD
Drownyard Temple,tdc,Tarkir: Dragonstorm Commander,359,normal,rare,1,,dbc8512a-9f6c-40d4-8049-14505e260746,0.25,false,false,near_mint,en,USD
Eureka Moment,dsc,Duskmourn: House of Horror Commander,216,normal,common,1,,904b7c23-4077-4529-acc1-3882f475c547,0.28,false,false,near_mint,en,USD
Evolving Wilds,dsc,Duskmourn: House of Horror Commander,274,normal,common,1,,e524216c-ed35-49a3-868f-7ad0a0027a80,0.29,false,false,near_mint,en,USD
Experimental Lab // Staff Room,dsc,Duskmourn: House of Horror Commander,33,normal,rare,1,,0ee64079-76f2-49da-bd62-3d22dc1ec0c0,0.27,false,false,near_mint,en,USD
Explosive Vegetation,drc,Aetherdrift Commander,112,normal,uncommon,1,,ea73440b-a306-4425-84c0-5e18b6ec0516,0.65,false,false,near_mint,en,USD
Ezuri's Predation,dsc,Duskmourn: House of Horror Commander,178,normal,rare,1,,9a6cd6f6-ae6e-4a77-95ca-64c6882357d5,0.55,false,false,near_mint,en,USD
Fleeting Distraction,fdn,Foundations,155,normal,common,1,,c0b86a7b-4912-43a7-ab89-c3432385baa1,0.06,false,false,near_mint,en,USD
Flooded Grove,tdc,Tarkir: Dragonstorm Commander,364,normal,rare,1,,e3bec498-9149-4045-8931-8decbb87c526,0.30,false,false,near_mint,en,USD
Forest,ecl,Lorwyn Eclipsed,273,normal,common,9,,b460f5f7-c7c9-400c-8419-23d614f45bf9,0.17,false,false,near_mint,en,USD
Giant Growth,fdn,Foundations,223,normal,common,1,,bd0bf74e-14c1-4428-88d8-2181a080b5d0,0.29,false,false,near_mint,en,USD
Giggling Skitterspike,dsc,Duskmourn: House of Horror Commander,39,normal,rare,1,,fba20e7e-9581-4a9b-bdda-5c85d3450d4c,6.80,false,false,near_mint,en,USD
Glorious Sunrise,vow,Innistrad: Crimson Vow,200,normal,rare,1,,a2caf73e-c3eb-4fa8-996a-d3d18b2ffaeb,1.65,false,false,near_mint,en,USD
Greater Tanuki,dsc,Duskmourn: House of Horror Commander,181,normal,common,1,,65a193bb-22f3-4732-93cd-877cd8c8417c,0.23,false,false,near_mint,en,USD
Growth Spiral,dsc,Duskmourn: House of Horror Commander,88,normal,common,1,,1e10e2b4-9639-41ae-8b8e-253224d3d513,0.29,false,false,near_mint,en,USD
Hinterland Harbor,dsc,Duskmourn: House of Horror Commander,284,normal,rare,1,,5675b928-33d5-4abf-a732-e36a5c7c4f86,0.35,false,false,near_mint,en,USD
Hydra Omnivore,dsc,Duskmourn: House of Horror Commander,185,normal,mythic,1,,a6abde7a-da2a-4631-9db6-9d0ffe1e1105,0.44,false,false,near_mint,en,USD
Island,ecl,Lorwyn Eclipsed,270,normal,common,8,,b0da67fb-1cb2-4105-ab5c-b7c680b8116c,0.20,false,false,near_mint,en,USD
"Kianne, Corrupted Memory",dsc,Duskmourn: House of Horror Commander,2,normal,mythic,1,,d970c966-9a89-4c4c-ac73-8cf8fffe7721,0.37,false,false,near_mint,en,USD
Mosswort Bridge,tdc,Tarkir: Dragonstorm Commander,379,normal,rare,1,,1490c0dc-06d6-45ee-af3c-2935b0ab1233,0.34,false,false,near_mint,en,USD
"Multani, Yavimaya's Avatar",eoc,Edge of Eternities Commander,100,normal,mythic,1,,c37a0136-1c40-4cd1-8787-a25c377c1741,0.30,false,false,near_mint,en,USD
Myriad Landscape,eoc,Edge of Eternities Commander,169,normal,uncommon,1,,a0e2098f-1d94-491a-a7e9-a45a9f69e3a8,0.34,false,false,near_mint,en,USD
Overflowing Basin,drc,Aetherdrift Commander,165,normal,rare,1,,93a361a8-ecf2-4901-a948-c2fda6bd3aa9,0.34,false,false,near_mint,en,USD
Oversimplify,dsc,Duskmourn: House of Horror Commander,228,normal,rare,1,,db0e1886-fe98-48a3-aa9c-8255c02c0604,0.18,false,false,near_mint,en,USD
Overwhelming Stampede,dsc,Duskmourn: House of Horror Commander,192,normal,rare,1,,cbb081ca-75ab-40e4-b071-50ed387c90e4,1.75,false,false,near_mint,en,USD
Primordial Mist,dsc,Duskmourn: House of Horror Commander,123,normal,rare,1,,1f814aa9-f5e7-409c-82b5-45205d2b5f29,0.18,false,false,near_mint,en,USD
Quandrix Campus,dsc,Duskmourn: House of Horror Commander,294,normal,common,1,,f5e038d0-788d-4ed1-b2b3-bc2748febf05,0.21,false,false,near_mint,en,USD
Rampant Growth,tdc,Tarkir: Dragonstorm Commander,265,normal,common,1,,b7c47024-5e08-4b17-b41a-7647f8b814b9,0.40,false,false,near_mint,en,USD
"Rashmi, Eternities Crafter",dsc,Duskmourn: House of Horror Commander,231,normal,mythic,1,,e553935f-d8d8-4b98-ab4a-5a2eea3f3626,0.34,false,false,near_mint,en,USD
Reality Shift,ecc,Lorwyn Eclipsed Commander,68,normal,uncommon,1,,459f0dd1-3a52-4642-8c3e-11de9467507a,0.61,false,false,near_mint,en,USD
Refute,fdn,Foundations,48,normal,common,1,,38806934-dd9c-4ad4-a59c-a16dce03a14a,0.24,false,false,near_mint,en,USD
Reliquary Tower,cmr,Commander Legends,710,normal,uncommon,1,,b1e3f701-4783-42ef-bfe5-20606ada49f7,6.25,false,false,near_mint,en,USD
